Memories of Me (1988) - Like
Robot & Frank (2012) - Like
Morning Glory (2010) - Like
Something New (2006) - Like
Prelude to a Kiss (1992) - Like
Mystic Pizza (1988) - Like
Kenny & Company (1976) - Yet to watch
Monster in a Box (1992) - Like
Fanboys (2009) - Yet to watch
Control (Kontroll) (2003) - Like
